Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,cabin_multiple,cabin_adv,numeric_ticket,name_title,norm_fare
0,1,male,45.5,0,0,S,1,C,1,Mr,3.3843902633457743
0,2,male,23.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,3,male,32.0,0,0,S,0,n,0,Mr,2.188856327665703
0,3,male,26.0,1,0,S,0,n,1,Mr,2.180891922715322
0,3,female,6.0,4,2,S,0,n,1,Miss,3.4742929367327062
0,1,male,24.0,0,1,C,2,B,0,Mr,5.515526544247129
0,1,male,45.0,0,0,S,1,B,1,Major,3.3160025355989236
0,2,male,29.0,1,0,C,0,n,0,Mr,3.357621598945279
0,3,male,,0,0,S,0,n,1,Mr,2.1855792552411137
1,1,male,,0,0,S,1,C,1,Mr,3.597312260588446
1,2,female,42.0,0,0,S,0,n,1,Mrs,2.6390573296152584
0,3,male,36.0,1,1,S,0,n,1,Mr,3.224857896545748
0,2,male,33.0,0,0,S,0,n,0,Mr,2.5858825671280026
0,3,male,17.0,1,0,S,0,n,1,Mr,2.086193694502369
1,3,male,29.0,0,0,S,0,n,1,Mr,2.3513752571634776
1,2,female,50.0,0,1,S,0,n,1,Mrs,3.295836866004329
1,1,female,35.0,1,0,S,1,C,1,Mrs,4.51085950651685
1,1,female,38.0,0,0,C,1,C,0,Miss,5.4316456135398825
0,2,male,34.0,0,0,S,0,n,1,Mr,2.6390573296152584
1,1,female,17.0,1,0,S,1,B,1,Mrs,4.060443010546419
0,3,female,11.0,4,2,S,0,n,1,Miss,3.4742929367327062
0,3,male,61.0,0,0,S,0,n,1,Mr,1.9792758428991135
0,3,female,30.0,0,0,S,0,n,1,Miss,2.2682524139135403
1,2,female,7.0,0,2,S,0,n,0,Miss,3.305053521109253
1,3,female,63.0,0,0,S,0,n,1,Mrs,2.3596740599781727
1,3,male,20.0,0,0,C,0,n,1,Mr,2.1076888046179385
1,3,female,,0,2,C,0,n,1,Mrs,3.1509523813392697
0,3,male,29.0,0,0,S,0,n,1,Mr,2.3497835148230464
1,1,male,36.0,1,2,S,2,B,1,Mr,4.795790545596741
0,3,male,,0,0,C,0,n,1,Mr,2.738146075922933
0,3,male,50.0,0,0,S,0,n,0,Mr,2.2027647577118348
